timestamp,air_temperature,humidity,light,co2,water_temperature,soil_ph,soil_ec,nitrogen,phosphorus,potassium
2026-09-22 00:00:00,24.21,68.64,0,570.15,20.43,6.39,1.56,68.51,28.62,190.75
2026-09-22 00:15:00,24.34,68.4,0,583.4,20.69,6.41,1.42,65.91,27.47,188.6
2026-09-22 00:30:00,24.26,68.24,469,569.77,20.63,6.41,1.47,70.06,28.33,193.59
2026-09-22 00:45:00,23.93,67.61,0,576.28,20.67,6.41,1.48,66.85,27.69,193.66
2026-09-22 01:00:00,23.83,68.65,384,563.4,20.54,6.44,1.4,67.61,27.94,187.55
2026-09-22 01:15:00,24.19,68.38,0,587.32,20.65,6.43,1.57,68.43,28.07,186.1
2026-09-22 01:30:00,24.2,67.86,0,566.92,20.31,6.38,1.56,65.56,27.13,190.72
2026-09-22 01:45:00,24.44,69.07,0,554.71,20.57,6.38,1.44,69.17,28.66,190.47
2026-09-22 02:00:00,24.07,68.93,1435,586.19,20.6,6.42,1.42,69.54,28.57,191.59
2026-09-22 02:15:00,23.41,67.86,758,561.78,20.47,6.43,1.43,69.93,28.33,189.55
2026-09-22 02:30:00,24.12,69.13,108,591.03,20.38,6.39,1.55,68.03,27.47,192.84
2026-09-22 02:45:00,24.48,68.0,0,577.69,20.49,6.39,1.57,66.77,28.76,186.2
2026-09-22 03:00:00,23.84,69.04,1016,586.89,20.6,6.4,1.51,68.69,27.89,190.83
2026-09-22 03:15:00,24.29,68.35,688,583.01,20.95,6.41,1.48,67.55,27.99,192.77
2026-09-22 03:30:00,24.06,68.68,1654,550.55,20.34,6.41,1.52,68.29,27.74,191.97
2026-09-22 03:45:00,24.31,67.69,2187,578.39,20.48,6.4,1.49,67.92,26.36,188.54
2026-09-22 04:00:00,24.59,66.96,0,582.84,20.79,6.44,1.41,67.58,27.8,191.87
2026-09-22 04:15:00,24.69,65.35,980,557.1,20.79,6.36,1.51,69.43,27.91,190.57
2026-09-22 04:30:00,24.68,68.07,0,585.0,20.9,6.39,1.64,66.62,28.55,189.2
2026-09-22 04:45:00,24.57,68.52,200,573.98,20.42,6.35,1.53,66.84,27.38,185.59
2026-09-22 05:00:00,25.01,68.44,1326,555.98,20.76,6.37,1.54,69.91,27.47,194.68
2026-09-22 05:15:00,25.03,67.39,0,577.03,20.79,6.38,1.52,68.49,28.9,186.94
2026-09-22 05:30:00,25.18,68.91,1307,558.63,20.7,6.43,1.51,68.15,28.85,189.21
2026-09-22 05:45:00,24.27,66.89,3041,565.97,20.96,6.38,1.5,69.0,28.05,193.98
2026-09-22 06:00:00,25.06,68.17,10744,571.1,20.82,6.43,1.41,66.7,26.82,193.21
2026-09-22 06:15:00,24.83,66.95,13887,551.83,20.88,6.41,1.59,68.05,28.32,193.0
2026-09-22 06:30:00,25.27,65.54,18167,559.87,20.73,6.38,1.55,68.95,28.0,192.42
2026-09-22 06:45:00,25.51,65.46,21798,539.68,21.3,6.38,1.45,67.07,27.08,189.65
2026-09-22 07:00:00,25.24,66.83,25535,546.22,21.04,6.34,1.54,67.67,26.66,187.37
2026-09-22 07:15:00,25.82,65.83,32714,547.23,21.36,6.41,1.57,68.79,28.27,183.75
2026-09-22 07:30:00,26.14,67.42,35981,531.83,21.67,6.35,1.52,70.91,27.44,192.07
2026-09-22 07:45:00,26.58,65.81,40857,542.3,21.16,6.4,1.51,68.99,27.98,189.41
2026-09-22 08:00:00,25.85,65.39,45112,531.02,21.23,6.37,1.63,69.37,28.38,182.22
2026-09-22 08:15:00,26.48,66.05,49620,531.01,21.45,6.42,1.4,69.24,28.19,187.89
2026-09-22 08:30:00,26.83,67.2,50461,516.81,21.58,6.41,1.48,66.83,29.27,193.11
2026-09-22 08:45:00,26.21,63.87,56687,530.14,21.94,6.42,1.46,68.31,26.7,187.76
2026-09-22 09:00:00,26.69,65.56,57729,515.82,21.72,6.41,1.53,68.25,27.81,192.37
2026-09-22 09:15:00,26.86,64.04,60837,513.92,21.67,6.4,1.5,68.21,27.92,186.22
2026-09-22 09:30:00,27.1,65.75,64584,508.97,21.83,6.37,1.41,68.07,27.44,192.22
2026-09-22 09:45:00,26.78,61.91,65815,523.67,21.72,6.36,1.46,68.63,28.3,190.53
2026-09-22 10:00:00,27.67,65.08,69047,510.97,22.18,6.43,1.55,66.7,27.91,192.19
2026-09-22 10:15:00,27.26,65.29,71665,511.3,21.86,6.48,1.56,67.74,28.05,197.79
2026-09-22 10:30:00,27.36,64.95,73814,499.63,21.71,6.41,1.52,69.36,28.47,190.07
2026-09-22 10:45:00,27.82,64.48,74654,497.58,21.94,6.42,1.45,67.25,28.0,185.61
2026-09-22 11:00:00,27.54,61.8,75119,500.33,22.15,6.4,1.49,66.3,29.1,191.55
2026-09-22 11:15:00,28.09,62.8,76556,474.21,22.23,6.43,1.41,67.94,28.38,184.71
2026-09-22 11:30:00,27.31,62.5,76865,476.3,22.12,6.41,1.53,68.84,28.9,193.49
2026-09-22 11:45:00,27.54,62.96,76904,477.66,22.13,6.4,1.52,66.1,27.26,189.93
2026-09-22 12:00:00,27.95,63.06,77943,479.1,22.32,6.41,1.5,67.19,27.9,181.84
2026-09-22 12:15:00,27.78,63.32,76504,487.15,22.24,6.36,1.49,67.62,28.28,191.84
2026-09-22 12:30:00,28.13,62.36,77301,483.15,22.38,6.41,1.46,66.37,27.78,187.78
2026-09-22 12:45:00,27.85,63.03,76280,483.71,22.36,6.39,1.62,67.61,28.66,190.36
2026-09-22 13:00:00,28.56,60.72,75057,484.17,22.39,6.47,1.52,69.54,28.46,192.84
2026-09-22 13:15:00,28.41,62.9,74926,470.18,22.52,6.37,1.51,70.54,27.87,190.06
2026-09-22 13:30:00,28.63,63.05,72204,483.01,22.41,6.42,1.46,70.1,29.0,190.05
2026-09-22 13:45:00,28.38,62.58,72401,473.06,22.43,6.39,1.47,68.86,28.8,189.97
2026-09-22 14:00:00,28.1,63.81,69021,483.11,22.6,6.43,1.47,70.74,28.0,192.36
2026-09-22 14:15:00,28.1,62.96,65176,497.97,22.57,6.36,1.42,66.05,28.71,188.62
2026-09-22 14:30:00,28.26,62.71,64084,469.55,22.3,6.36,1.5,68.37,28.28,189.3
2026-09-22 14:45:00,27.99,63.21,60964,496.62,22.44,6.4,1.48,67.16,27.44,188.94
2026-09-22 15:00:00,28.32,63.61,58896,502.69,22.13,6.4,1.64,65.76,27.69,190.51
